Wall time,Step,Value
1600616547.2944875,0,2.1621689796447754
1600621176.9470587,1,2.0195329189300537
1600625949.873912,2,1.9848008155822754
1600630480.5089746,3,1.9559361934661865
1600635144.504519,4,1.9363449811935425
1600639690.448572,5,1.9216272830963135
1600644117.3975008,6,1.901505947113037
1600648355.9813428,7,1.8928234577178955
1600652527.9605672,8,1.8785353899002075
1600656659.384821,9,1.8683102130889893
1600660825.175569,10,1.7790096998214722
1600664993.670299,11,1.7606065273284912
1600669002.5325482,12,1.7507374286651611
1600672938.8787878,13,1.7417601346969604
1600676950.6963685,14,1.7360622882843018
1600681162.8805027,15,1.7298731803894043
1600685344.0905836,16,1.7258033752441406
1600689357.305867,17,1.7213188409805298
1600693528.1098137,18,1.7170249223709106
1600697877.0578473,19,1.713894009590149
1600702393.057857,20,1.7025978565216064
1600706890.6779804,21,1.7019577026367188
1600711387.424001,22,1.6985853910446167
1600715527.4919405,23,1.699255347251892
1600719498.5767665,24,1.6973589658737183
1600723456.6647396,25,1.6978563070297241
1600727463.6665514,26,1.6963701248168945
1600731504.0064526,27,1.6966407299041748
1600735479.7762237,28,1.6933948993682861
1600739474.54988,29,1.6944061517715454
