Wall time,Step,Value
1594814135.1700711,0,11.397777557373047
1594816535.5401614,1,11.5
1594818932.9171543,2,10.984444618225098
1594821342.963246,3,15.004444122314453
1594823816.2170343,4,23.141111373901367
1594826415.1140192,5,24.510000228881836
1594829025.0145588,6,29.280000686645508
1594831603.4414773,7,31.013334274291992
1594834157.7927203,8,38.54777908325195
1594836242.330547,9,44.12666702270508
1594838305.8097327,10,45.72222137451172
1594840360.2283003,11,49.17222213745117
1594842345.1665413,12,55.459999084472656
1594844720.411528,13,59.137779235839844
1594847285.3814242,14,61.37111282348633
1594849862.929494,15,62.99555587768555
1594852457.6485453,16,64.36888885498047
1594855080.215309,17,65.49888610839844
1594857712.439879,18,67.05555725097656
1594860313.774931,19,67.92666625976562
1594862890.2729013,20,69.42555236816406
1594865458.2373228,21,70.38111114501953
1594868062.6207216,22,71.1066665649414
1594870679.9549677,23,71.7155532836914
1594873284.6438916,24,72.1433334350586
1594875863.1034787,25,72.47777557373047
1594878444.235915,26,73.23110961914062
1594881085.3898187,27,73.4566650390625
1594883712.2145905,28,73.93333435058594
1594886286.454948,29,74.6977767944336
1594888782.658151,30,75.82221984863281
1594891387.14032,31,76.06999969482422
1594894063.35134,32,76.68555450439453
1594896847.209121,33,77.77777862548828
1594899334.9447293,34,78.9911117553711
1594901357.7898707,35,79.94222259521484
1594903368.3093388,36,80.61888885498047
1594905396.0833669,37,81.23777770996094
1594907348.4892635,38,81.64111328125
1594909441.2198434,39,82.3066635131836
1594911596.7442575,40,83.0999984741211
1594913740.100826,41,83.57666778564453
1594915911.0357957,42,84.24888610839844
1594918081.6327617,43,84.35888671875
1594920228.7297935,44,84.55000305175781
1594922250.1299386,45,85.3066635131836
1594924209.17727,46,85.61555480957031
1594926166.4487796,47,86.02666473388672
1594928141.5122898,48,86.04000091552734
1594930128.8216352,49,86.86222076416016
1594932086.5745444,50,87.56888580322266
1594934064.8371615,51,88.08444213867188
1594936038.6926587,52,88.45333099365234
1594937999.6473434,53,88.97555541992188
1594939954.8339062,54,89.5
1594941930.7149777,55,90.2911148071289
1594943897.5242,56,90.89888763427734
1594945863.4321063,57,91.57888793945312
1594947818.280775,58,92.29888916015625
1594949785.229521,59,93.17666625976562
1594951783.5145035,60,94.28888702392578
1594953761.0573268,61,94.92333221435547
1594955719.712145,62,95.46666717529297
1594957688.1197126,63,95.82111358642578
1594959664.379666,64,96.02889251708984
1594961487.7248988,65,96.3455581665039
1594963444.7283034,66,96.56777954101562
1594965424.5076067,67,96.92444610595703
1594967418.0087845,68,96.97555541992188
1594969394.6638982,69,97.2611083984375
1594971334.54947,70,97.68333435058594
1594973271.028623,71,97.86888885498047
1594975300.4702563,72,97.94000244140625
1594977277.4502583,73,98.09444427490234
1594979282.194415,74,98.1544418334961
1594981186.2282677,75,98.20333099365234
1594983179.966385,76,98.38999938964844
1594985184.5037942,77,98.50666809082031
1594987190.959023,78,98.63777923583984
1594989202.9833987,79,98.59666442871094
1594991203.3406997,80,98.81777954101562
1594993401.006638,81,98.91444396972656
1594995614.245875,82,98.99666595458984
1594997763.222452,83,99.02999877929688
1594999995.3761868,84,99.08555603027344
1595002235.0158012,85,98.97555541992188
1595004482.0166442,86,99.163330078125
1595006633.1031678,87,99.11555480957031
1595008796.3147058,88,99.22555541992188
1595010989.58818,89,99.19110870361328
1595013197.0018978,90,99.35888671875
1595015308.2148516,91,99.3455581665039
1595017475.1503558,92,99.3477783203125
1595019657.281032,93,99.33555603027344
1595021815.0965412,94,99.46221923828125
1595023994.6006048,95,99.47777557373047
1595026160.651859,96,99.4888916015625
1595028342.425574,97,99.53111267089844
1595030536.041619,98,99.56666564941406
