Wall time,Step,Value
1594998858.9345658,0,13.317777633666992
1595001117.1181533,1,23.261110305786133
1595003388.8655639,2,26.031110763549805
1595005614.9546037,3,32.872222900390625
1595007784.7784111,4,42.1077766418457
1595009982.961093,5,39.48666763305664
1595012185.9210951,6,45.81666564941406
1595014362.3520699,7,51.828887939453125
1595016537.924704,8,53.56666564941406
1595018737.3050406,9,55.34333419799805
1595020921.0977898,10,57.82444381713867
1595023123.902109,11,61.96333312988281
1595025335.8603146,12,64.39111328125
1595027534.1504467,13,66.97000122070312
1595029740.0358808,14,68.02333068847656
1595031847.014435,15,69.38666534423828
1595034023.4974754,16,70.87999725341797
1595036132.5151622,17,71.47666931152344
1595038260.7235055,18,72.31444549560547
1595040372.9986706,19,73.18000030517578
1595042536.9805021,20,74.1500015258789
1595044670.2969072,21,74.93777465820312
1595046797.7567225,22,75.70555877685547
1595048942.2363408,23,76.45222473144531
1595051076.4308913,24,77.15888977050781
1595053223.6185234,25,78.05889129638672
1595055435.3927865,26,78.86666870117188
1595057617.768331,27,79.82777404785156
1595059803.0318072,28,80.72000122070312
1595061957.0094337,29,81.31888580322266
1595064146.226196,30,82.32111358642578
1595066382.2076778,31,83.27777862548828
1595068544.9705608,32,83.82888793945312
1595070635.7838585,33,84.4111099243164
1595072643.6293533,34,85.34889221191406
1595074652.8625064,35,86.26000213623047
1595076742.553864,36,86.9111099243164
1595078983.7656548,37,87.89111328125
1595080997.5100632,38,88.54444122314453
1595082816.0962856,39,89.44889068603516
1595084638.5979095,40,90.22666931152344
1595086456.5462165,41,91.07777404785156
1595088262.7679284,42,92.03666687011719
1595090111.5847864,43,93.27333068847656
1595091940.3041685,44,94.336669921875
1595093770.5945692,45,95.4000015258789
1595095578.082866,46,96.24555206298828
1595097385.6204448,47,96.93000030517578
1595099223.7698321,48,97.38888549804688
1595101080.6626358,49,97.6544418334961
1595103037.4429321,50,97.83333587646484
1595104983.7392497,51,98.00444793701172
1595106924.5314147,52,97.93222045898438
1595108737.50811,53,98.14555358886719
1595110416.7299824,54,98.2844467163086
1595112117.285022,55,98.34444427490234
1595113852.876926,56,98.33555603027344
1595115590.6663737,57,98.47110748291016
1595117322.415611,58,98.5433349609375
1595119048.7320635,59,98.46333312988281
1595120767.9600823,60,98.65555572509766
1595122436.100781,61,98.71221923828125
1595124169.5269947,62,98.7699966430664
1595125908.4495091,63,98.76333618164062
1595127644.319722,64,98.7588882446289
1595129372.4467833,65,98.7933349609375
1595131105.9513218,66,98.8455581665039
1595132834.401316,67,98.74222564697266
1595134538.0707166,68,98.86555480957031
1595136265.9540708,69,98.87666320800781
1595137998.7677927,70,98.76555633544922
1595139732.9593902,71,98.9477767944336
1595141477.3810813,72,99.01333618164062
1595143165.2003455,73,99.04000091552734
1595144892.4653478,74,98.97777557373047
1595146620.0280666,75,99.0655517578125
1595148349.4204938,76,99.07888793945312
1595150078.29938,77,99.11444091796875
1595151812.714861,78,99.05889129638672
1595153549.6944804,79,99.12110900878906
1595155283.0091803,80,99.07888793945312
1595156985.2537942,81,99.13555908203125
1595158749.6503296,82,99.1322250366211
1595160525.6592076,83,99.13666534423828
1595162646.9762008,84,99.26777648925781
1595164874.7669406,85,99.18555450439453
1595167049.371132,86,99.1844482421875
1595168918.8638718,87,99.32111358642578
1595170777.175912,88,99.21333312988281
1595172675.6109314,89,99.2300033569336
1595174574.512804,90,99.30110931396484
1595176493.0634444,91,99.32111358642578
1595178349.0912662,92,99.33000183105469
1595180279.5628517,93,99.17555236816406
1595182157.6908474,94,99.25
1595184059.0880585,95,99.26222229003906
1595185953.8596494,96,99.2955551147461
1595187856.3128233,97,99.31777954101562
1595189965.7448964,98,99.3455581665039
1595192073.2760093,99,99.36222076416016
