Wall time,Step,Value
1604337509.5441823,0,3.150174856185913
1604340128.0058608,1,2.59184193611145
1604342671.9231198,2,2.4013562202453613
1604345220.8433812,3,2.3113696575164795
1604347778.051397,4,2.259679079055786
1604350329.8942363,5,2.2158398628234863
1604352865.7250378,6,2.1915740966796875
1604355396.3742378,7,2.1663522720336914
1604357931.641173,8,2.142106533050537
1604360470.6014297,9,2.1239607334136963
1604362998.412018,10,2.1085948944091797
1604365531.9857657,11,2.096769332885742
1604368073.3663442,12,2.082886219024658
1604370615.5828397,13,2.0704143047332764
1604373174.1754913,14,2.0622785091400146
1604375731.9353251,15,1.8922982215881348
1604378276.5598123,16,1.8508070707321167
1604380813.7437115,17,1.8286257982254028
1604383349.2756302,18,1.8135122060775757
1604385885.3584056,19,1.8054100275039673
1604388435.6900432,20,1.7962900400161743
1604390965.1988273,21,1.785780668258667
1604393498.4190407,22,1.7770581245422363
1604396035.2558239,23,1.7671693563461304
1604398573.0965059,24,1.7593114376068115
1604401103.0911777,25,1.7568750381469727
1604403646.901823,26,1.746304988861084
1604406190.5434134,27,1.7419308423995972
1604408838.7706096,28,1.7326321601867676
1604411395.6880386,29,1.7275352478027344
1604413952.522597,30,1.6836905479431152
1604416517.958715,31,1.6735504865646362
1604419091.7095625,32,1.6679586172103882
1604421646.6264892,33,1.6643171310424805
1604424201.0925863,34,1.659703016281128
1604426762.1069152,35,1.6585912704467773
1604429321.0698051,36,1.6554216146469116
1604431882.7678967,37,1.6552194356918335
1604434443.1503572,38,1.6477407217025757
1604436999.256975,39,1.6486042737960815
1604439558.9795241,40,1.6427655220031738
1604442118.603851,41,1.6408857107162476
1604444673.8628361,42,1.6397837400436401
1604447325.2008607,43,1.6359018087387085
1604449978.3529923,44,1.6310460567474365
