Wall time,Step,Value
1600516333.309101,0,3.212568521499634
1600520286.5653982,1,2.5956521034240723
1600524454.4304104,2,2.398123025894165
1600528536.5485435,3,2.2889657020568848
1600532570.4995444,4,2.220404624938965
1600536572.3012412,5,2.160585641860962
1600540233.733459,6,2.117494821548462
1600543577.281495,7,2.083326578140259
1600546920.963661,8,2.049746036529541
1600550244.1679034,9,2.0231411457061768
1600553577.0667295,10,2.0044376850128174
1600556900.3090367,11,1.9842320680618286
1600560213.7104845,12,1.9650893211364746
1600563541.1745982,13,1.9463495016098022
1600566868.1130712,14,1.9314221143722534
1600570186.4729192,15,1.8324201107025146
1600573503.989462,16,1.8031370639801025
1600576809.6445289,17,1.7885998487472534
1600580107.4700654,18,1.773293137550354
1600583438.18685,19,1.757609248161316
1600586741.9785678,20,1.75106680393219
1600589990.9881842,21,1.7422350645065308
1600593253.1283743,22,1.73520028591156
1600596518.3034585,23,1.7260109186172485
1600599774.6591022,24,1.721166968345642
1600603043.0114174,25,1.7128764390945435
1600606312.4957685,26,1.7060548067092896
1600609565.5791698,27,1.6966640949249268
1600612789.5564475,28,1.6906858682632446
1600616074.8311207,29,1.6845732927322388
1600619395.1573718,30,1.651711106300354
1600622798.8386633,31,1.6455258131027222
1600626180.802961,32,1.644515872001648
1600629573.929757,33,1.6363619565963745
1600632950.8388982,34,1.6322426795959473
1600636302.6328678,35,1.6306997537612915
1600639637.6677349,36,1.629058837890625
1600642972.0234509,37,1.6263140439987183
1600646175.478719,38,1.625322937965393
1600649388.1283674,39,1.6205565929412842
1600652594.1586716,40,1.6161277294158936
1600655806.7892332,41,1.6140997409820557
1600659013.341939,42,1.6130889654159546
1600662223.7545905,43,1.6099638938903809
1600665452.0699685,44,1.6086173057556152
