Wall time,Step,Value
1602616693.4274068,42,0.5766369104385376
1602616693.9634123,45,0.5848214626312256
1602616701.0346146,71,0.5894608497619629
1602616707.9622135,94,0.6076388955116272
1602616727.950734,167,0.5762060880661011
1602616744.995281,229,0.607421875
1602616746.4799957,234,0.6104166507720947
1602616752.7944887,255,0.5777243375778198
1602616757.4493225,273,0.571180522441864
1602616767.9838066,308,0.5802696347236633
1602616768.5349777,310,0.5854166746139526
1602616770.8951354,318,0.6020833849906921
1602616811.1248202,474,0.6270833611488342
1602616827.965417,536,0.5900298357009888
1602616839.2657146,579,0.607421875
1602616841.2848134,586,0.6031249761581421
1602616854.0626123,634,0.5947917103767395
1602616857.8858445,647,0.5794956684112549
1602616876.464644,714,0.625
1602616879.0577395,722,0.6435185074806213
1602616900.206092,802,0.6736111044883728
1602616901.3452823,808,0.6458333134651184
1602616908.7719395,836,0.6171875
1602616947.5230157,971,0.6112938523292542
1602616959.59709,1014,0.6574074029922485
1602616972.0348542,1066,0.633184552192688
1602616983.2979877,1104,0.6145833730697632
1602617005.6384795,1180,0.65625
1602617028.818216,1261,0.6466346383094788
1602617043.8136647,1316,0.634469747543335
1602617045.0734231,1319,0.6547619104385376
1602617049.6153593,1333,0.6390625238418579
1602617050.9688568,1337,0.6310306787490845
1602617063.1120741,1385,0.6458333730697632
1602617065.0826578,1392,0.6536458730697632
1602617077.0973678,1436,0.6927083730697632
1602617084.0725753,1466,0.7157738208770752
1602617106.8434315,1552,0.6195175647735596
1602617116.1549408,1584,0.6614583730697632
1602617143.8257031,1691,0.7994791865348816
1602617155.5932589,1734,0.6598958969116211
1602617156.1854866,1737,0.7708333134651184
1602617183.9116747,1844,0.7149621248245239
1602617192.6881452,1877,0.6891025304794312
1602617202.4542494,1917,0.7330729365348816
1602617212.0537474,1947,0.6846064925193787
1602617237.399289,2036,0.78125
1602617255.6226275,2096,0.7782738208770752
1602617283.7317789,2199,0.90625
1602617291.4010193,2231,0.7329545617103577
1602617299.9786243,2262,0.7656250596046448
1602617312.246462,2307,0.765625
1602617334.4226358,2389,0.9375
1602617347.7914305,2436,0.8472222089767456
1602617352.0830734,2453,0.7544642686843872
1602617352.5742147,2455,0.8136574029922485
1602617354.224507,2460,0.8252314925193787
1602617361.0999305,2485,0.7881944179534912
1602617361.4396496,2486,0.7430555820465088
1602617364.9100893,2498,0.8020833730697632
1602617366.0952313,2503,0.8767361640930176
1602617374.422231,2532,0.7552083730697632
1602617420.8499262,2685,0.8923611640930176
1602617436.066575,2740,0.9062500596046448
1602617503.3178258,2967,0.7523148059844971
1602617525.1368103,3038,0.8854166865348816
1602617525.8640501,3041,0.9049479365348816
1602617558.9987848,3161,0.9965277910232544
1602617579.5828226,3230,0.9088541865348816
1602617584.5901222,3246,1.0
1602617584.7632508,3247,0.9722222089767456
1602617598.8098674,3305,1.0
1602617646.5574782,3480,0.9016203880310059
1602617682.9183195,3618,0.8237179517745972
1602617683.2923415,3620,0.9979166984558105
1602617696.5345206,3670,0.8311011791229248
1602617717.8857124,3741,0.8033854365348816
1602617740.5167508,3814,0.9965277910232544
1602617742.486661,3821,0.9229167699813843
1602617773.9232194,3928,0.8167892098426819
1602617781.9702258,3956,0.7635416984558105
1602617804.7570128,4036,0.7968750596046448
1602617820.2546258,4098,0.8787878751754761
1602617847.6502092,4196,0.9375000596046448
1602617857.3131456,4232,0.8430555462837219
1602617882.6316323,4317,0.9100379347801208
1602617906.517211,4400,0.811951756477356
1602617931.492736,4492,0.9982638955116272
1602617936.2209582,4509,1.0
1602617978.8169272,4664,0.8506944179534912
1602617979.745918,4668,1.0
1602617981.9804418,4676,0.7927083969116211
1602618012.3983855,4788,1.0
1602618016.1860747,4802,0.863839328289032
1602618026.5478485,4840,0.9251894354820251
1602618040.3751369,4894,1.0
1602618061.2772813,4971,0.9982638955116272
1602618085.720327,5052,0.8743056058883667
1602618101.2664444,5106,0.9403409957885742
1602618110.2070608,5134,0.9837963581085205
1602618168.8424551,5345,0.927951455116272
1602618172.8214984,5359,0.9157986640930176
1602618190.582103,5420,0.8414351940155029
1602618226.2970471,5549,1.0
1602618263.2412515,5679,1.0
1602618275.39596,5723,0.8135417699813843
1602618297.8489165,5808,0.8350694179534912
1602618312.3531363,5864,0.875
1602618313.795815,5871,0.8406862616539001
1602618321.8869853,5907,0.8005208969116211
1602618345.754716,5990,0.8506944179534912
1602618381.9452114,6131,0.9526515603065491
1602618400.32749,6200,0.9630682468414307
1602618407.0805163,6219,0.8197916746139526
1602618425.4814522,6289,0.8909721970558167
1602618431.3207555,6312,0.9918981790542603
1602618447.8876367,6376,0.9294871687889099
1602618488.4148471,6520,0.99609375
1602618505.2200167,6574,0.8670343160629272
1602618513.2752147,6603,0.9006944894790649
1602618538.2759323,6696,1.0
1602618539.3728006,6699,0.880859375
1602618542.0787957,6711,0.8005208969116211
1602618580.2308664,6854,0.9125000238418579
1602618612.6912696,6966,1.0
1602618654.6950097,7114,0.9263392686843872
1602618666.2631335,7155,0.8472222089767456
1602618707.9536183,7311,0.9930555820465088
1602618727.5647454,7382,1.0
1602618747.4562619,7450,1.0
1602618750.360836,7460,1.0
1602618751.082293,7463,0.9947916865348816
1602618755.0885482,7478,1.0
1602618762.9014518,7511,1.0
1602618812.989334,7693,1.0
1602618838.1571052,7788,0.876953125
1602618841.3247662,7798,0.9933712482452393
1602618852.4430149,7833,0.9979166984558105
1602618894.3794663,7991,1.0
1602618915.4749217,8066,1.0
1602618946.4027336,8180,0.8984375
1602618957.6267822,8221,0.9976851940155029
1602618999.9649584,8363,0.8338541984558105
1602619001.0461164,8368,1.0
1602619003.8476791,8377,0.9933712482452393
1602619028.5396209,8470,0.9914772510528564
1602619036.1775808,8498,0.859375
1602619039.184936,8508,0.9971591234207153
1602619065.308536,8601,0.9985119104385376
1602619075.8578153,8635,0.9886363744735718
1602619140.2809205,8878,0.9927083253860474
1602619146.657659,8907,0.8799020051956177
1602619152.2667449,8928,1.0
1602619153.9508657,8935,1.0
1602619170.400073,8993,0.90234375
1602619243.3582869,9260,1.0
1602619259.0854065,9316,0.9886363744735718
1602619269.178348,9348,1.0
1602619291.279048,9435,0.9241071939468384
1602619300.685398,9468,0.9575320482254028
1602619326.4033935,9554,0.9933712482452393
1602619329.5094633,9567,0.978298544883728
1602619351.5125947,9657,1.0
1602619357.8093903,9680,0.912109375
1602619361.2019925,9698,1.0
1602619399.9139652,9843,1.0
1602619415.2049258,9907,1.0
1602619462.038078,10084,0.8788377046585083
1602619513.9822068,10276,1.0
1602619515.9414454,10283,0.9494047164916992
1602619546.9555337,10399,0.9958333373069763
1602619566.3079524,10479,0.9965277910232544
1602619578.401194,10522,0.8807870149612427
1602619600.706497,10607,1.0
1602619608.4775958,10638,0.9962121248245239
1602619613.130488,10654,1.0
1602619627.3116279,10711,1.0
1602619638.9796593,10757,0.8771929740905762
1602619639.1071,10758,1.0
1602619644.7906551,10780,0.9985119104385376
1602619659.0806823,10841,1.0
1602619661.6355257,10850,0.9913194179534912
1602619677.052379,10902,1.0
1602619677.850145,10905,1.0
1602619687.9305394,10943,0.9575320482254028
1602619693.5508368,10966,0.912109375
1602619696.0127118,10974,1.0
1602619708.8727183,11020,0.9976851940155029
1602619729.6417046,11102,1.0
1602619734.6963875,11121,0.9695513248443604
1602619754.4408407,11198,1.0
1602619769.0128958,11260,1.0
1602619810.0157177,11419,1.0
1602619825.2583654,11472,1.0
1602619830.064936,11492,1.0
1602619838.5448034,11523,1.0
1602619840.5978422,11532,1.0
1602619848.233217,11566,0.998106062412262
1602619870.2461636,11648,1.0
1602619880.89345,11685,0.983173131942749
1602619899.5923,11759,1.0
1602619931.1347451,11873,0.9871795177459717
1602619954.901149,11969,0.9627976417541504
1602619956.2897916,11974,0.9513888955116272
1602619965.1218407,12010,0.8975694179534912
1602619972.5169148,12041,0.9965277910232544
1602619998.6011095,12138,0.965029776096344
1602620004.089106,12164,1.0
1602620008.3457177,12184,0.890046238899231
1602620036.549594,12290,0.8717105388641357
1602620066.2818255,12405,0.9166666865348816
1602620080.1897008,12458,0.8609374761581421
1602620134.8314726,12671,1.0
1602620185.231273,12877,1.0
